,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Belaya Gora,RU,68.53,146.42,41.4,63,100,8.16,overcast clouds
83,Bumba,CD,2.18,22.47,84.0,59,70,2.53,broken clouds
84,Nago,JP,26.59,127.98,82.83,87,100,19.84,light rain
85,Hachinohe,JP,40.50,141.50,68.94,95,25,4.05,scattered clouds
86,Ribeira Grande,PT,38.52,-28.70,75.6,73,75,6.91,broken clouds
87,Mazyr,BY,52.05,29.25,59.67,39,100,9.75,overcast clouds
88,Nanga Eboko,CM,4.68,12.37,78.89,64,98,3.69,overcast clouds
89,North Bend,US,43.41,-124.22,62.24,97,100,11.5,overcast clouds
90,Beringovskiy,RU,63.05,179.32,40.87,80,100,7.56,light rain
91,Atuona,PF,-9.80,-139.03,76.35,66,7,25.01,clear sky
92,Bethel,US,41.37,-73.41,76.77,85,100,3.44,overcast clouds
93,La Romana,DO,18.43,-68.97,80.96,89,40,6.91,scattered clouds
94,Saskylakh,RU,71.92,114.08,45.14,60,100,17.98,overcast clouds
95,Pevek,RU,69.70,170.31,32.9,99,100,5.75,overcast clouds
96,Pueblo,US,38.25,-104.61,74.41,92,0,3.51,clear sky
97,Saint George,US,37.10,-113.58,77.59,25,0,4.61,clear sky
98,Fuerte Olimpo,PY,-21.04,-57.87,78.66,36,0,5.3,clear sky
99,Carnarvon,AU,-24.87,113.63,64.17,63,78,17.18,broken clouds
100,Nanortalik,GL,60.14,-45.24,44.44,92,97,4.41,overcast clouds
101,Jumla,NP,29.27,82.18,60.62,93,45,2.24,scattered clouds
102,Tuktoyaktuk,CA,69.45,-133.04,42.8,93,100,28.77,light rain
103,Sorland,NO,67.67,12.69,53.46,75,100,6.76,overcast clouds
104,Kavaratti,IN,10.57,72.64,79.09,87,100,23.11,light rain
105,Pisco,PE,-13.70,-76.22,59.05,94,100,4.61,light intensity drizzle
106,Helena,US,46.59,-112.04,54.59,50,100,0.0,haze
107,Klaksvik,FO,62.23,-6.59,58.12,94,92,22.3,overcast clouds
108,Castro,BR,-24.79,-50.01,57.49,65,100,6.8,overcast clouds
109,Bilibino,RU,68.05,166.44,33.26,95,98,3.58,overcast clouds
110,Rypefjord,NO,70.63,23.67,46.87,93,75,17.27,light rain
111,Tucurui,BR,-3.77,-49.67,93.22,42,6,6.44,clear sky
112,Kodar,IN,16.98,79.97,85.98,66,19,6.26,few clouds
113,Bredasdorp,ZA,-34.53,20.04,58.96,53,77,26.96,broken clouds
114,Victoria,HK,22.29,114.16,90.18,59,32,5.99,scattered clouds
115,Bengkulu,ID,-3.80,102.27,78.31,82,100,1.39,heavy intensity rain
116,Koundara,GN,12.48,-13.30,86.94,66,91,0.16,overcast clouds
117,Iqaluit,CA,63.75,-68.51,38.93,86,100,12.66,light rain
118,Porto Velho,BR,-8.76,-63.90,84.25,48,14,8.05,few clouds
119,Saint Anthony,US,45.02,-93.22,62.83,89,75,8.05,broken clouds
120,Rincon,US,32.30,-81.24,83.86,99,58,2.98,broken clouds
121,Batagay-Alyta,RU,67.80,130.41,36.36,63,0,4.5,clear sky
122,Pangnirtung,CA,66.15,-65.71,39.2,93,100,19.57,light rain
123,Nuuk,GL,64.18,-51.72,39.36,96,100,11.97,light rain
124,Whitefish,US,48.41,-114.34,62.76,84,20,0.0,few clouds
125,Corvallis,US,44.56,-123.26,63.07,81,100,4.61,overcast clouds
126,Cidreira,BR,-30.18,-50.21,61.18,73,46,11.63,scattered clouds
127,Methoni,GR,36.82,21.70,84.06,65,17,2.51,few clouds
128,Ponta Do Sol,PT,32.67,-17.10,78.01,83,61,1.57,light rain
129,Ayan,RU,56.45,138.17,52.21,79,100,9.1,overcast clouds
130,Khatanga,RU,71.97,102.50,44.15,76,100,8.37,overcast clouds
131,Seoul,KR,37.57,126.98,64.0,94,100,13.8,moderate rain
132,Jobat,IN,22.42,74.57,79.29,77,69,6.26,broken clouds
133,Mar Del Plata,AR,-38.00,-57.56,63.95,53,0,1.01,clear sky
134,Dikson,RU,73.51,80.55,37.65,73,100,26.73,overcast clouds
135,La Crosse,US,43.80,-91.24,63.41,92,0,1.99,clear sky
136,Truckee,US,39.33,-120.18,68.77,44,5,1.43,clear sky
137,Verkhoyansk,RU,67.54,133.38,43.32,56,0,8.19,clear sky
138,Laguna,US,38.42,-121.42,82.63,49,0,4.61,clear sky
139,Sorong,ID,-0.88,131.25,79.34,83,78,2.46,broken clouds
140,Los Llanos De Aridane,ES,28.66,-17.92,74.12,85,40,13.8,scattered clouds
141,Padang,ID,-0.95,100.35,78.85,84,90,2.62,light rain
142,Port Alfred,ZA,-33.59,26.89,63.18,61,3,13.0,clear sky
143,Semey,KZ,50.41,80.23,75.42,25,0,8.95,clear sky
144,Mehtar Lam,AF,34.67,70.21,83.41,62,6,6.04,clear sky
145,Sechelt,CA,49.47,-123.77,59.0,90,42,4.74,scattered clouds
146,Pilar,BR,-9.60,-35.96,78.73,71,65,11.56,broken clouds
147,Sault Sainte Marie,CA,46.52,-84.33,55.96,73,0,5.75,clear sky
148,Coquimbo,CL,-29.95,-71.34,51.53,87,20,6.91,few clouds
149,Singaparna,ID,-7.35,108.11,71.83,95,74,2.42,broken clouds
150,Taoudenni,ML,22.68,-3.98,113.43,10,35,11.05,scattered clouds
151,Cabedelo,BR,-6.98,-34.83,75.87,78,73,19.17,broken clouds
152,Hay River,CA,60.82,-115.80,51.78,62,75,6.91,broken clouds
153,Sao Miguel Do Araguaia,BR,-13.28,-50.16,96.76,13,2,9.42,clear sky
154,Kachiry,KZ,53.07,76.10,71.22,27,100,5.39,overcast clouds
155,Namibe,AO,-15.20,12.15,69.53,71,4,10.6,clear sky
156,Lavrentiya,RU,65.58,-171.00,41.4,93,100,6.26,light rain
157,Te Anau,NZ,-45.42,167.72,25.81,90,70,1.9,broken clouds
158,Gat,IL,31.61,34.76,90.39,100,0,12.19,clear sky
159,Tigil,RU,57.80,158.67,40.26,92,92,3.56,overcast clouds
160,Sola,VU,-13.88,167.55,79.32,80,95,6.53,overcast clouds
161,Kahului,US,20.89,-156.47,78.84,67,0,9.22,clear sky
162,Fomboni,KM,-12.28,43.74,76.05,67,0,6.2,clear sky
163,Yelizovo,RU,53.19,158.38,51.94,81,40,4.47,scattered clouds
